groupFieldId,usersFieldId,groupTrackerId,usersTrackerId,groupDesc,groupHome,groupName
NULL,NULL,NULL,NULL,Public users not logged,NULL,Anonymous
NULL,NULL,NULL,NULL,Users logged into the system,NULL,Registered

