menuId,optionId,perm,url,name,type,section,groupname,position
42,144,tiki_p_admin,tiki-search_stats.php,Search stats,o,feature_search_stats,<blank>,1125
42,145,tiki_p_admin,tiki-theme_control.php,Theme control,o,feature_theme_control,<blank>,1130
42,146,tiki_p_admin,tiki-admin_quicktags.php,QuickTags,o,<blank>,<blank>,1135
42,147,tiki_p_admin_chat,tiki-admin_chat.php,Chat,o,feature_chat,<blank>,1140
42,148,tiki_p_admin_categories,tiki-admin_categories.php,Categories,o,feature_categories,<blank>,1145
42,149,tiki_p_admin_banners,tiki-list_banners.php,Banners,o,feature_banners,<blank>,1150
42,150,tiki_p_edit_templates,tiki-edit_templates.php,Edit templates,o,feature_edit_templates,<blank>,1155
42,151,tiki_p_admin_drawings,tiki-admin_drawings.php,Drawings,o,feature_drawings,<blank>,1160
42,152,tiki_p_admin_dynamic,tiki-list_contents.php,Dynamic content,o,feature_dynamic_content,<blank>,1165
42,153,tiki_p_admin_mailin,tiki-admin_mailin.php,Mail-in,o,feature_mailin,<blank>,1175
42,154,tiki_p_edit_html_pages,tiki-admin_html_pages.php,HTML pages,o,feature_html_pages,<blank>,1185
42,155,tiki_p_admin_shoutbox,tiki-shoutbox.php,Shoutbox,o,feature_shoutbox,<blank>,1190
42,156,tiki_p_admin_shoutbox,tiki-admin_shoutbox_words.php,Shoutbox Words,o,feature_shoutbox,<blank>,1191
42,157,tiki_p_view_referer_stats,tiki-referer_stats.php,Referer stats,o,feature_referer_stats,<blank>,1195
42,158,tiki_p_admin_integrator,tiki-admin_integrator.php,Integrator,o,feature_integrator,<blank>,1205
42,159,tiki_p_admin,tiki-phpinfo.php,phpinfo,o,<blank>,<blank>,1215
42,160,tiki_p_admin,tiki-admin_system.php,System Admin,o,<blank>,<blank>,1230
42,161,tiki_p_admin,tiki-admin_score.php,Score,o,feature_score,<blank>,1235
42,162,tiki_p_admin,tiki-mods.php,Admin mods,o,<blank>,<blank>,1240
42,163,tiki_p_admin,tiki-syslog.php,Tiki Logs,o,<blank>,<blank>,1245
42,164,tiki_p_admin,tiki-admin_security.php,Security Admin,o,<blank>,<blank>,1250

