PACKED,NULLABLE,SUB_PART,COMMENT,INDEX_NAME,INDEX_TYPE,NON_UNIQUE,COLLATION,INDEX_SCHEMA,SEQ_IN_INDEX,TABLE_SCHEMA,TABLE_NAME,TABLE_CATALOG,CARDINALITY,COLUMN_NAME
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,galaxia_activities,NULL,0,activityId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,galaxia_activity_roles,NULL,NULL,activityId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,2,tikiwiki,galaxia_activity_roles,NULL,0,roleId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,galaxia_instance_activities,NULL,NULL,instanceId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,2,tikiwiki,galaxia_instance_activities,NULL,0,activityId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,galaxia_instance_comments,NULL,0,cId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,galaxia_instances,NULL,0,instanceId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,galaxia_processes,NULL,0,pId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,galaxia_roles,NULL,0,roleId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,galaxia_transitions,NULL,NULL,actFromId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,2,tikiwiki,galaxia_transitions,NULL,0,actToId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,galaxia_user_roles,NULL,NULL,roleId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,2,tikiwiki,galaxia_user_roles,NULL,0,user
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,galaxia_workitems,NULL,0,itemId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,messu_archive,NULL,0,msgId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,messu_messages,NULL,0,msgId
NULL,<blank>,NULL,<blank>,userIsRead,BTREE,1,A,tikiwiki,1,tikiwiki,messu_messages,NULL,NULL,user
NULL,YES,NULL,<blank>,userIsRead,BTREE,1,A,tikiwiki,2,tikiwiki,messu_messages,NULL,NULL,isRead
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,messu_sent,NULL,0,msgId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,sessions,NULL,0,sesskey
NULL,<blank>,NULL,<blank>,expiry,BTREE,1,A,tikiwiki,1,tikiwiki,sessions,NULL,NULL,expiry
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_article_types,NULL,4,type
NULL,YES,NULL,<blank>,show_pre_publ,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_article_types,NULL,NULL,show_pre_publ
NULL,YES,NULL,<blank>,show_post_expire,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_article_types,NULL,NULL,show_post_expire
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_articles,NULL,0,articleId
NULL,YES,NULL,<blank>,title,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_articles,NULL,NULL,title
NULL,YES,255,<blank>,heading,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_articles,NULL,NULL,heading
NULL,YES,255,<blank>,body,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_articles,NULL,NULL,body
NULL,YES,NULL,<blank>,nbreads,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_articles,NULL,NULL,nbreads
NULL,YES,32,<blank>,author,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_articles,NULL,NULL,author
NULL,YES,NULL,<blank>,topicId,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_articles,NULL,NULL,topicId
NULL,YES,NULL,<blank>,publishDate,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_articles,NULL,NULL,publishDate
NULL,YES,NULL,<blank>,expireDate,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_articles,NULL,NULL,expireDate
NULL,YES,NULL,<blank>,type,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_articles,NULL,NULL,type
NULL,YES,NULL,<blank>,ft,FULLTEXT,1,NULL,tikiwiki,1,tikiwiki,tiki_articles,NULL,NULL,title
NULL,YES,NULL,<blank>,ft,FULLTEXT,1,NULL,tikiwiki,2,tikiwiki,tiki_articles,NULL,NULL,heading
NULL,YES,NULL,<blank>,ft,FULLTEXT,1,NULL,tikiwiki,3,tikiwiki,tiki_articles,NULL,NULL,body
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_banners,NULL,0,bannerId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_banning,NULL,0,banId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_banning_sections,NULL,NULL,banId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,2,tikiwiki,tiki_banning_sections,NULL,0,section
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_blog_activity,NULL,NULL,blogId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,2,tikiwiki,tiki_blog_activity,NULL,0,day
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_blog_posts,NULL,0,postId
NULL,YES,255,<blank>,data,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_blog_posts,NULL,NULL,data
NULL,<blank>,NULL,<blank>,blogId,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_blog_posts,NULL,NULL,blogId
NULL,YES,NULL,<blank>,created,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_blog_posts,NULL,NULL,created
NULL,YES,NULL,<blank>,ft,FULLTEXT,1,NULL,tikiwiki,1,tikiwiki,tiki_blog_posts,NULL,NULL,data
NULL,YES,NULL,<blank>,ft,FULLTEXT,1,NULL,tikiwiki,2,tikiwiki,tiki_blog_posts,NULL,NULL,title
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_blog_posts_images,NULL,0,imgId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_blogs,NULL,0,blogId
NULL,YES,NULL,<blank>,title,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_blogs,NULL,NULL,title
NULL,YES,255,<blank>,description,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_blogs,NULL,NULL,description
NULL,YES,NULL,<blank>,hits,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_blogs,NULL,NULL,hits
NULL,YES,NULL,<blank>,ft,FULLTEXT,1,NULL,tikiwiki,1,tikiwiki,tiki_blogs,NULL,NULL,title
NULL,YES,NULL,<blank>,ft,FULLTEXT,1,NULL,tikiwiki,2,tikiwiki,tiki_blogs,NULL,NULL,description
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_calendar_categories,NULL,0,calcatId
NULL,<blank>,NULL,<blank>,catname,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_calendar_categories,NULL,NULL,calendarId
NULL,<blank>,16,<blank>,catname,BTREE,0,A,tikiwiki,2,tikiwiki,tiki_calendar_categories,NULL,0,name
